gene_id	gene_name	longest_transcript_exon_length
ENSMUSG00000102693.1	4933401J01Rik	1070
ENSMUSG00000064842.1	Gm26206	110
ENSMUSG00000051951.5	Xkr4	4153
ENSMUSG00000102851.1	Gm18956	480
ENSMUSG00000103377.1	Gm37180	2819
ENSMUSG00000104017.1	Gm37363	2233
ENSMUSG00000103025.1	Gm37686	2309
ENSMUSG00000089699.1	Gm1992	250
ENSMUSG00000103201.1	Gm37329	2057
ENSMUSG00000103147.1	Gm7341	926
ENSMUSG00000103161.1	Gm38148	3012
ENSMUSG00000102331.1	Gm19938	3259
ENSMUSG00000102348.1	Gm10568	1634
ENSMUSG00000102592.1	Gm38385	2351
ENSMUSG00000088333.2	Gm27396	58
ENSMUSG00000102343.1	Gm37381	899
ENSMUSG00000025900.12	Rp1	6869
ENSMUSG00000102948.1	Gm6101	1867
ENSMUSG00000104123.1	Gm37483	1484
ENSMUSG00000025902.13	Sox17	3242
ENSMUSG00000104238.1	Gm37587	2828
ENSMUSG00000102269.1	Gm7357	2991
ENSMUSG00000096126.1	Gm22307	107
ENSMUSG00000103003.1	Gm38076	450
ENSMUSG00000104328.1	Gm37323	2773
ENSMUSG00000102735.1	Gm7369	936
ENSMUSG00000098104.1	Gm6085	1470
ENSMUSG00000102175.1	Gm6119	1206
ENSMUSG00000088000.1	Gm25493	103
ENSMUSG00000103265.1	Gm2053	631
ENSMUSG00000103922.1	Gm6123	1069
ENSMUSG00000033845.13	Mrpl15	4600
ENSMUSG00000102275.1	Gm37144	1150
ENSMUSG00000025903.14	Lypla1	4456
ENSMUSG00000104217.1	Gm37988	825
ENSMUSG00000033813.15	Tcea1	2854
ENSMUSG00000062588.4	Gm6104	603
ENSMUSG00000103280.1	Gm37277	1111
ENSMUSG00000002459.17	Rgs20	2125
ENSMUSG00000091305.1	Gm17100	272
ENSMUSG00000102653.1	Gm37079	2135
ENSMUSG00000085623.1	Gm16041	3725
ENSMUSG00000091665.1	Gm17101	1588
ENSMUSG00000033793.12	Atp6v1h	4829
ENSMUSG00000104352.1	Gm7182	732
ENSMUSG00000104046.1	Gm37567	2279
ENSMUSG00000102907.1	Gm38264	2032
ENSMUSG00000025905.13	Oprk1	4675
ENSMUSG00000103936.1	Gm36965	394
ENSMUSG00000093015.1	Gm22463	101
ENSMUSG00000103519.1	Gm37429	1799
ENSMUSG00000033774.4	Npbwr1	3692
ENSMUSG00000103090.1	Gm19214	1083
ENSMUSG00000025907.14	Rb1cc1	7607
ENSMUSG00000090031.2	4732440D04Rik	5428
ENSMUSG00000087247.3	Alkal1	971
ENSMUSG00000103355.1	Gm2147	639
ENSMUSG00000102706.1	Gm7417	473
ENSMUSG00000103845.1	Gm19026	4530
ENSMUSG00000033740.17	St18	5892
ENSMUSG00000103329.2	Gm42492	2915
ENSMUSG00000104385.1	Gm7449	663
ENSMUSG00000102135.1	Gm37108	626
ENSMUSG00000103282.1	Gm37275	30
ENSMUSG00000102534.1	Gm37225	325
ENSMUSG00000102213.1	Gm37489	159
ENSMUSG00000103629.1	Gm5694	641
ENSMUSG00000051285.17	Pcmtd1	5232
ENSMUSG00000098201.1	Gm26983	388
ENSMUSG00000103509.1	Gm38372	4028
ENSMUSG00000048538.7	Gm9826	1299
ENSMUSG00000103709.1	Nras-ps2	178
ENSMUSG00000077244.1	Gm23274	130
ENSMUSG00000102768.1	Gm19002	1012
